Window training time,Source ID,Collection time,Publishing time,Preprocessing time start,Preprocessing time end,Data arrival time
3959098087,50931061,1750109206.1159937,3959098086.011831,3959098087.9478884,3959098088.067395,1750109243.8668377
3959098091,406fed66,1750109210.1113465,3959098090.017759,3959098091.9203525,3959098092.0597577,1750109243.889595
3959098093,31166487,1750109212.0625958,3959098091.9604764,3959098093.89131,3959098094.0512285,1750109244.1727705
3959098090,73cc0ebb,1750109208.0272322,3959098087.9381013,3959098090.0284724,3959098090.16824,1750109244.2167287
3959098091,406fed66,1750109210.1113465,3959098090.017759,3959098091.9203525,3959098092.0597577,1750109244.507636
3959098095,50931061,1750109213.9660308,3959098093.8689,3959098095.8567896,3959098096.0166397,1750109244.5257864
3959098097,37f483c2,1750109215.9580784,3959098095.86153,3959098097.8263383,3959098097.964706,1750109244.7755997
3959098093,31166487,1750109212.0625958,3959098091.9604764,3959098093.89131,3959098094.0512285,1750109244.7886357
3959098099,406fed66,1750109217.9251325,3959098097.821198,3959098099.794248,3959098099.9346585,1750109245.1151512
3959098095,50931061,1750109213.9660308,3959098093.8689,3959098095.8567896,3959098096.0166397,1750109245.1098237
3959098097,37f483c2,1750109215.9580784,3959098095.86153,3959098097.8263383,3959098097.964706,1750109245.4638724
3959098101,ce1630f2,1750109219.9007633,3959098099.805282,3959098101.737418,3959098101.876382,1750109245.5819137
3959098103,50931061,1750109221.83047,3959098101.7284045,3959098103.601965,3959098103.7256026,1750109247.1685421
3959098099,406fed66,1750109217.9251325,3959098097.821198,3959098099.794248,3959098099.9346585,1750109247.560752
3959098105,50931061,1750109223.801439,3959098103.7047296,3959098105.627195,3959098105.790532,1750109248.1268387
3959098101,ce1630f2,1750109219.9007633,3959098099.805282,3959098101.737418,3959098101.876382,1750109248.4653683
3959098107,406fed66,1750109225.7166388,3959098105.6140146,3959098107.532787,3959098107.6616755,1750109248.4691663
3959098103,50931061,1750109221.83047,3959098101.7284045,3959098103.601965,3959098103.7256026,1750109248.6888506
3959098109,50931061,1750109227.620732,3959098107.5260825,3959098109.512112,3959098109.6397195,1750109248.6984694
3959098111,31166487,1750109229.6039913,3959098109.505613,3959098111.4473634,3959098111.5786943,1750109248.8854063
3959098105,50931061,1750109223.801439,3959098103.7047296,3959098105.627195,3959098105.790532,1750109248.9283993
3959098113,37f483c2,1750109231.53992,3959098111.441946,3959098113.447076,3959098113.5551763,1750109249.127264
3959098107,406fed66,1750109225.7166388,3959098105.6140146,3959098107.532787,3959098107.6616755,1750109249.169842
3959098115,31166487,1750109233.5340722,3959098113.437816,3959098115.4131656,3959098115.5378838,1750109249.393776
3959098109,50931061,1750109227.620732,3959098107.5260825,3959098109.512112,3959098109.6397195,1750109249.408101
3959098117,31166487,1750109235.5572157,3959098115.455228,3959098117.363648,3959098117.487271,1750109249.7068202
3959098111,31166487,1750109229.6039913,3959098109.505613,3959098111.4473634,3959098111.5786943,1750109249.711495
3959098119,73cc0ebb,1750109237.461819,3959098117.3610144,3959098119.2999244,3959098119.4253573,1750109249.9435625
