Window training time,Source ID,Collection time,Publishing time,Polling time,Preprocessing time start,Preprocessing time end,Data arrival time,training_epoch_start,training_epoch_end,training_round_start,training_round_end,local_model_size,global_model_size
3959098169,37f483c2,1750109287.6038437,3959098167.5026407,3959098168.1650047,3959098169.438915,3959098169.583471,3959098169.9025598,1750109290.0123868,1750109290.8452134,0,1750109285.323149,1750109290.8452177,55315,55389
3959098171,31166487,1750109289.5208662,3959098169.428315,3959098170.001117,3959098171.3657665,3959098171.496675,3959098171.5969315,1750109291.707079,1750109292.5071893,0,1750109291.0620193,,55315,55389
3959098171,31166487,1750109289.5208662,3959098169.428315,3959098170.001117,3959098171.3657665,3959098171.496675,3959098171.6338534,1750109291.7435908,1750109292.5255277,0,1750109291.0510237,,55315,55389
3959098171,31166487,1750109289.5208662,3959098169.428315,3959098170.001117,3959098171.3657665,3959098171.496675,3959098171.882608,1750109291.9960122,1750109292.8234677,0,1750109291.1641254,,55315,55389
3959098173,50931061,1750109291.4723768,3959098171.3705597,3959098171.9868064,3959098173.3041396,3959098173.4511385,3959098173.580915,1750109293.6906185,1750109294.58248,0,1750109291.0620193,,55315,55389
3959098173,50931061,1750109291.4723768,3959098171.3705597,3959098171.9868064,3959098173.3041396,3959098173.4511385,3959098173.7137766,1750109293.8233204,1750109294.8074923,0,1750109291.0510237,,55315,55389
3959098173,50931061,1750109291.4723768,3959098171.3705597,3959098171.9868064,3959098173.3041396,3959098173.4511385,3959098173.9001064,1750109294.0096483,1750109295.1591485,0,1750109291.1641254,,55315,55389
3959098175,ce1630f2,1750109293.422204,3959098173.32502,3959098173.914796,3959098175.143932,3959098175.2806683,3959098175.313437,1750109295.4228222,1750109296.228413,0,1750109291.0620193,1750109296.2284164,55315,55389
3959098175,ce1630f2,1750109293.422204,3959098173.32502,3959098173.914796,3959098175.143932,3959098175.2806683,3959098175.4637575,1750109295.5734606,1750109296.4414346,0,1750109291.0510237,1750109296.4414382,55315,55389
3959098175,ce1630f2,1750109293.422204,3959098173.32502,3959098173.914796,3959098175.143932,3959098175.2806683,3959098175.7184153,1750109295.82782,1750109296.5980551,0,1750109291.1641254,1750109296.5980587,55315,55389
3959098177,31166487,1750109295.2976313,3959098175.1964483,3959098175.8458147,3959098177.0954447,3959098177.24317,3959098177.277843,1750109297.3871596,1750109298.161526,0,1750109296.8061037,,55315,55389
3959098177,31166487,1750109295.2976313,3959098175.1964483,3959098175.8458147,3959098177.0954447,3959098177.24317,3959098177.3353457,1750109297.444702,1750109298.2762735,0,1750109296.8189209,,55315,55389
3959098177,31166487,1750109295.2976313,3959098175.1964483,3959098175.8458147,3959098177.0954447,3959098177.24317,3959098177.591337,1750109297.70069,1750109298.3815732,0,1750109296.7982469,,55315,55389
3959098178,ce1630f2,1750109297.2050538,3959098177.1049385,3959098177.7068033,3959098178.9434333,3959098179.0866947,3959098179.262022,1750109299.371247,1750109300.3814945,0,1750109296.8189209,,55315,55389
3959098178,ce1630f2,1750109297.2050538,3959098177.1049385,3959098177.7068033,3959098178.9434333,3959098179.0866947,3959098179.2202635,1750109299.329812,1750109300.5243893,0,1750109296.8061037,,55315,55389
3959098178,ce1630f2,1750109297.2050538,3959098177.1049385,3959098177.7068033,3959098178.9434333,3959098179.0866947,3959098179.5098157,1750109299.6190577,1750109300.599873,0,1750109296.7982469,,55315,55389
3959098180,50931061,1750109299.0569243,3959098178.963187,3959098179.652863,3959098180.918377,3959098181.0486746,3959098181.0831733,1750109301.1927054,1750109301.954363,0,1750109296.8061037,1750109301.954367,55315,55389
3959098180,50931061,1750109299.0569243,3959098178.963187,3959098179.652863,3959098180.918377,3959098181.0486746,3959098181.202086,1750109301.3140576,1750109302.1586745,0,1750109296.7982469,1750109302.1586928,55315,55389
3959098180,50931061,1750109299.0569243,3959098178.963187,3959098179.652863,3959098180.918377,3959098181.0486746,3959098181.1199727,1750109301.2293055,1750109302.2769952,0,1750109296.8189209,1750109302.276999,55315,55389
3959098182,31166487,1750109301.0294075,3959098180.9328904,3959098181.336895,3959098182.8352156,3959098182.9666147,3959098183.1115174,1750109303.2207465,1750109304.1038964,0,1750109302.5760722,,55315,55389
